title,description,length
The 1300s,"The fourteenth century found Europe struggling against famine, plague and the Hundred Years' War between France and England. Japan experienced political infighting and the Aztecs developed a sophisticated civilization that spread throughout Central America. Chapters also examine the rise of the Ottomans, the Mali Empire, the Great Schism and Geoffrey Chaucer's poetry.",370
"Fumbling: A Pilgrimage Tale of Love, Grief, and Spiritual Renewal on the Camino de Santiago","Kerry Egan set off to hike the Camino de Santiago less than a year after her father died, with her boyfriend Alex in tow. Ready to ""be done with this grief thing,"" Egan instead discovers that grief, love, faith, and joy follow as they walk through the wheat fields, olive tree orchards, and little towns of northern Spain. Both a spiritual memoir and travel story, Fumbling explores faith in the face of grief and love.",419
"Impeding Justice  (A Lorne Simpkins Thriller, #2)","Detective Inspector Lorne Simpkins comes up against her long-time nemesis, The Unicorn. After leading Simpkins and her partner into a trap, in which Pete is killed, Lorne comes to the conclusion the criminal is obtaining insider information, enabling him to stay one step ahead of them.
Can Lorne uncover who the mole is before The Unicorn harms her daughter?",359
My Very  First Signs,"Spend a day with twins Josie and Josh as they wake up, eat breakfast, visit their grandparents, take a bath, and go to sleep, lifting the flaps to learn sign language along the way! Studies have shown that babies can communicate using sign language long before they can speak. Our new Little Signs series teaches basic American Sign Language (ASL) signs in a fun, lift-the-flap format!",385
Dangerous Diplomacy: How the State Department Threatens America's Security,"In Dangerous Diplomacy, investigative reporter Joel Mowbray exposes the hidden agendas, mixed allegiances, and outright anti-Americanism that has infected the U.S. State Department. Relying on exhaustive interviews with State Department personnel and extensive research into State's publications, procedures, and recent history, Mowbray reveals an astounding pattern of shortsighted and misguided policies, compounded by an ingrained and self-criticism and correction.",468
Finding Frances,"Finding Frances is a powerful exploration of medical ethics and family loyalties in the 21st century. Fiction based on true events. ""How does each person want to live? How would they want to die? Van Dyck brings these questions smoothly to the surface without ever pushing an agenda or setting up arguments."" (The Washington Times)",331
"Marking Time (Cazalet Chronicles, #2)","The wonderful sequel to The Light Years returns readers to Britain in September, 1939, as war breaks out. Sheltered Louise, now 16, goes from cooking school to London parties. For 14-year-old Polly, the terrors of war cannot forestall the pangs of adolescence. And though Clary's father has been reported missing since Dunkirk, she holds to the belief that he's alive.",368
Come the Shadows,"Officer Will Harmon lives a comfortable life in Campbell Creek, North Carolina, where there hasn't been a murder in seventeen years. When bones are discovered in the old bread factory his life is disrupted but the body only the beginning. Challenges, threats, and surprising mysteries are coming and he will do whatever it takes to protect the life he loves...",360
Karma's a Bitch: A Short Story,"Karen Sheppard is found dead in her car at the Paris Club. Her husband is a self-absorbed sociopath, but is he a killer? The initial evidence points towards Karen's husband, but DNA results exonerates him and points towards a convicted sex offender. Who really killed her? This short story is full of twists and turns with an end that will surprise you.",353
"Prom Night in Purgatory (Purgatory, #2)","Where does before end and after begin?
By some miracle and against all odds, Johnny and Maggie are given a second chance. But Johnny is freed from Purgatory only to find himself in a totally different time and place, in a world full of strangers. 'Prom Night in Purgatory' is the sequel to the love story that is unlike any other, where time is shifting and everything can change, and Maggie must fight for Johnny all over again.",429
The Immortal's Guide,"When the Great Vampire falls, his dark secrets rise.
As a new breed of creature consumes all, Xavier Delacroix is thrown into the fray of The Dark World, while Christian Delacroix is kept maddeningly close to the mysterious Alexandria Stone.
The Immortal's Guide, the powerful book every creature wants to get their hands on, is lost. Xavier Delacroix is in a race to find it--and keep it from the clutches of a surprising new creature that is as familiar as she is deadly.",473
Hats Off to You!,"Let's all go to Chez Chapeaux!
Hats and more piled high.
Which hats do we want to try? 
There are hats with flowers, stripes, and bells. And hats with feathers, stars, and shells. But which ones will they choose to buy?
Pink or purple, red or white?
We think these will be just right
The girls invite you to dress up, too! Put on your favorite hat and join in the rhyming fun as they unveil a very special mother-daughter surprise.",431
Confessions of a Teenage Body Snatcher,"Here's the thing about body snatching. You just can't think about what you're doing. You can't feel sorry for the person, or think they look like your mother, your brother or your sister. You can't feel bad. In fact, you can't feel anything. That's the key. Because the minute you start feeling something, it's over. You're dead - pennies on the eyes, dirt on the face dead. It's no way to live, but for some, it's the only way. Until they come for you . . .",458
Jefferson the Virginian,"Dumas Malone's classic six-volume biography Jefferson and His Time was awarded the Pulitzer Prize in history and became the standard work on Jefferson's life.
Volume 1. Jefferson the VirginianThis first volume explores the early phases of Jefferson's life, from his youth, education, legal career, and marriage, to the building of Monticello, writing of the Declaration of Independence and his highly contentious governorship.",426
Horus Rising,"After thousands of years of expansion and conquest, the imperium of man is at its height. His dream for humanity nearly accomplished, the emperor hands over the reins of power to his warmaster, Horus, and heads back to Terra. But is Horus strong enough to control his fellow commanders and continue the emperor's grand design?",326
Karma: First Edition,"It is 1984, and fifteen-year-old Maya is on her way to India with her father. She carries with her the ashes of her mother, who recently committed suicide, and arrives in Delhi on the eve of Prime Minister Indira Gandhi's assassination.
Maya is separated from her father and must rely upon the mysterious, kindhearted Sandeep to safely reunite them. As her love for Sandeep begins to blossom, Maya must face the truth about her painful adolescence...if she's ever to imagine her future.",486
Orlean Puckett: The Life of a Mountain Midwife,"Orlean Puckett was a midwife who lived from 1844 to 1939 in Carroll County, Virginia. Aunt Orlean delivered thousands of babies in the mountain region of Virginia. She herself, however, lost 24 children of her own. She is commemorated on the Blue Ridge Parkway by a marker which was put up the National Park Service.",316
Sharpe's Gold (Sharpe Series #9),"In this novel, the third in a series that will take the magnetic Sharpe all the way from Talavera to the glory of Waterloo, Bernard Cornwell tells the gripping story of Sharpe's secret mission, an adventure unlike any form of warfare Sharpe has known in his long and embattled career as a soldier fighting his way up through the ranks.Unabridged Audiobook read by Frederick Davidson.",383
Nightworld Vol. 1,"It's fast and furious Faustian action as a trio of demons-- the noble Plenilunio, the hell-raising Hotspot and the haughty Hellena-- battle the evil Empyre and each other over mythic artifacts to lift their curse! Meanwhile Plenilunio's spellbound lover Lidia sleepwalks his castle and haunts his heart. B-movie psychodrama at its best! Collects NIGHTWORLD #1-4.",362
"The Indochina Chronicles: Travels in Laos, Cambodia and Vietnam","From old Viet Cong guerrillas to the new tycoons of Saigon, from hookers and highwaymen to bartenders and ambassadors, Phil Karber has met them all--and had a drink with most. Nobody knows the red states of Indochina better than Phil Karber. This book is sweeping, provocative, and poignant.--Mark McDonald, Foreign correspondent, Knight Rider",343
An Ocean Apart: The Gold Mountain Diary of Chin Mei-Ling,"Mei-ling lives with her father in Vancouver, but her mother and baby brother are still in China. Mei-ling works after school, and her father holds down several jobs, in a frantic effort to come up with the head tax that will allow her mother and brother to come to Canada. They must have that money before the Exclusion Act bars any more Chinese from immigrating. Mei-ling cannot stop thinking about what will happen if they are unable to come up with the money to reunite their family?",486
Feels Like Forever,"A girl who is afraid to really live because of the pain of the past.
A guy who is trying to really live despite the pain of the present.
A cute kid who will lend them everything from laughter and love to her own special kind of bravery.
And the future they all deserve.
*This story deals with sensitive themes, includes brief recollections of traumatic events, and contains mature content.*",390
No Bones,"SHORTLISTED FOR THE ORANGE PRIZE FOR FICTION 2002 - a stunning debut novel about a little girl growing up in the Ardoyne area of Belfast.
Every single night and every single day Amelia goes upstairs to look at her treasure: a miniature plastic sheep, a Black Queen chess piece, a penny prayer for serenity, a tube of glitter - and thirty-seven black rubber bullets she's collected ever since the British Army started firing them...",431
The old Contemptibles,"18 vignettes describing personalized incidents in the British Expeditionary Force in 1914. The small but highly experienced Force was described by Kaiser Wilhelm as ""A Contemptible Little Army"". After inflicting some notable losses on the invading German army, they were overwhelmed and all but destroyed by the vastly superior numbers of the invaders. This book brings out the humour and professionalism of the British army in the face of overwhelming odds in 1914.",466
Borrowed Baby,"No woman can resist a single dad with a toddler in tow. At least, that's what journalist Nick Hansen is setting out to prove for his article on dating. So in the name of research, the confirmed bachelor borrows his two-year-old nephew and becomes an instant daddy. But Nick hadn't counted on meeting someone like beautiful Shannon McEvoy. Now, how can he ever convince Shannon that his feelings for her are real when everything else she knows about him is anything but?",469
He Took a Cab,"Mather Schneider's second full-length collection of poems, HE TOOK A CAB, takes the reader on an unforgettable ride of a lifetime. With each poem, Schneider propels the reader into a mindset of having just hailed a cab in a David Lynch movie--one where seemingly simple stories resonate deeper and deeper within the reader every time the book is read.",351
Fates and Furies,"Every story has two sides.
Every relationship has two perspectives.
And sometimes, it turns out, the key to a great marriage is not its truths but its secrets.
At age twenty-two, Lotto and Mathilde are tall, glamorous, madly in love and destined for greatness. A decade later, their marriage is still the envy of their friends, but behind closed doors, things are even more complicated and remarkable than they have seemed.",423
Buckaroo Banzai,"WHAT ON EARTH?
LECTROIDS FROM PLANET 10!
The latest frenzied adventure torn from the lives of Buckaroo Banzai and The Hong Kong Cavaliers! Join Team Banzai in this action-packed escapade as an interplanetary crossfire threatens to destroy the planet Earth!
BUCKAROO BANZAI---a bold, titillating mix of particle physics, rock 'n' roll, super-sonic speed machines, handsome men, beautiful women, and villains beyond redemption. BUCKAROO BANZAI. If he's not one thing, he's another.",479
Manhattan In Reverse,"A collection of short stories from the master of space opera. Peter F Hamilton takes us on a journey from a murder mystery in an alternative Oxford in the 1800s to a brand new story featuring Paula Mayo, deputy director of the Intersolar Commonwealth's Serious Crimes Directorate. Dealing with intricate themes and topical subjects, this top-10 best-selling author is at the top of his game.",391
No Reason To Stay,"Alexandra Wainwright was unaware that the universe had important lessons to teach her. Now, at the age of forty-nine, as she gradually succumbs to illness, Alexandra retraces her steps through the decades of a life well lived. Set in the unspoiled mountains of the West Kootenays, this tender exploration brims with love and culminates with an illuminating discovery.",367
How the World Works: A Brief Survey of International Relations,"How the World Works builds on students instincts about current world events and develops them into a more systematic and enduring understanding. This brief text introduces each of the field s major theories and demonstrates how different conceptual tools are used to interpret patterns in international relations. How the World Works not only grounds students in the essentials of international relations but also helps students use them to see past the headlines.""",465
"I, The Divine: A Novel in First Chapters","Raised in a hybrid family shaped by divorce and remarriage, and by Beirut in wartime, Sarah finds a fragile peace in self-imposed exile in the United States. Her extraordinary dignity is supported by a best friend, a grown-up son, occasional sensual pleasures, and her determination to tell her own story.",305
In the Shadow of Sherlock Holmes,"In the Shadow of Sherlock Holmes features 21 stories published during the earliest days of detective literature, 1862 to 1910. These stories are stand-outs in the field, and though not well-known today, they easily match or beat Arthur Conan Doyle's master detective in whose shadow they have been relegated. IDW corrects that literary oversight in this ""best of the best"" collection.",384
"Old Boy, Vol. 8","Imprisoned without explanation for a decade by a wealthy former schoolmate, Goto now comes to the endgame against his tormentor. If Goto cannot uncover the secret behind the schoolyard grudge, he'll earn his death and the death of the girl he loves - just as his adversary will accept death if Goto can unlock his memories and the meaning behind them. But there's more to the game locked away in memories, and even the end of the game may not mean the end to the war!",467
French Toast,"Phoebe, the daughter of a white French-Canadian mother and a Jamaican English-speaking father, dislikes her school nickname of French Toast. Gently prompted by her blind grandmother, she uses descriptions of familiar foods from both cultures to explain the family's varied skin colors and realizes she can take ownership of the nickname proudly.",345
Winterflight,"Set in the not-so-distant future, this chilling tale challenges readers to consider how America's apathy and inaction may soon lead to a society of legal terminations and genetically perfect populations. A suspenseful look at what tomorrow could bring, this novel inspires Christians to respond to the issues of their day with conviction, courage, and truth.",358
When You Promise the Dead,"Detective Bailey Jacobs and her father have never been close, but when he disappears, she's ready to give up everything to find him. In the midst of what seems to be a futile investigation, a childhood ghost returns to haunt her. Torn between personal obligations and professional priorities, will she have to stop the search for her father to catch a serial killer?",366
The Story of Time and Clocks,"The Signs of the Times series presents the history of basic systems of communication and calculation for children aged eight to ten. Organized chronologically from ancient history to the present, the volumes in the series are illustrated throughout with colorful photographs and drawings of artifacts and objects. Along with boxes which highlight inventions, personalities, and amazing facts, each of the titles supplies the reader with a timeline, a glossary and an index.",473
Praying with Saint Mark's Gospel,"A clear-cut and effective way to meditate daily on Saint Mark's Gospel. Read the entire Gospel within one year!
An entry for each day of the calendar year which included a short quotation from Saint Mark's Gospel, an original reflection composed by one of the book's twenty-three authors (including Anthony Esolen, Fr. Vincent Nagle, Fr. George Rutler, and Fr. Joseph Lienhard, S.J.), a thought-provoking final prayer.",418
Angela: Queen of Hel #5,"The ferocious finale of the conquest of Hel as Angela and Sera clash at last with the tyrannical Queen Hela in all her glory! Holy crow, are we glad comics don't have special effects budgets. (Marguerite owes Kim, Stephanie and Israel so many drinks.) And the splash page you've all been waiting for...",302
Centaurs,"Weird, creepy, and mysterious creatures from real life, movies, and mythology run amok in the Monsters series. Each monster's menacing characteristics, origins, and lasting appeal in popular culture are covered. Some of the books feature riveting first-person accounts of sightings, while others describe the amazing techniques used to create realistic-looking monsters. Full-color photographs, a glossary, annotated bibliography, and index enhance each book.",459
"Abby,","Abigail Van Buren Masterson chronicles her seventh grade year by writing to the famous advice columnist of the same name. From the beginning to the end of her school year, Abigail discovers a family she didn't know existed, learns about Multiple Sclerosis first hand, is accepted as the ""new kid"" but bullied by the school Drama Queen, gets her first boyfriend, and is taught beginner French by an Italian, all while researching Abigail Van Buren for an English assignment.",473
House of Denizens,"An auction's dealer travels to a country house hoping to acquire a rare piano, but instead gets himself locked inside. House of Denizens is the story of the strange, and at times unsettling occupants of the house to whom he is introduced, and the progressive realization that the house is a place of consequences from which there may be no escape.
http://www.storyboxcreations.com/",381
Pretty When You Sleep: A Creepy Little Bedtime Story,"In this ""creepy little bedtime story"" by William F. Aicher, we wake up with a young woman in the middle of the night. It seems poor Thalia can't sleep, so she does what any other twenty-something would do - she checks her phone. Only then does she realize, she's not alone.
A quick little tale of suspense - another vignette of nighttime terror. Sure to thrill anyone who's ever had to spend the night alone in the dark. That means you.",436
Spanish Settlement in North America: 1822-1898,"Sets the scene for one of America's most exciting historical periods, and explores such developments as the newly won independence of Mexico and the countries in South America, the emergence of missions and farming in California, the concept of manifest destiny, the Alamo, the gold rush, the Civil War, vaqueros, and Mexican songs and folklore.",345
Time Zones,"What are time zones and why do they exist? When it's noon where you live, why is it midnight halfway around the world? This entertaining book explains why time zones exist and includes little-known facts and historical lore, an explanation of Daylight Savings Time, and a hands-on activity that can be performed at home or in the classroom.",340
Four Major Plays 1,"A Doll House, The Wild Duck, Hedda Gabbler, The Master Builder. These four plays project Ibsen's revealing criticism of society & his almost uncanny perception of the intricacies of human motivations & relationships. Exposed are the demonic forces of greed, fear, sexual hostility & willful destructiveness, rising to shatter the prosaic surface of middle-class life.",367
Pioneer Life in the American West,"Focusing on a key topic in American history curriculum, America's Westward Expansion explores the people, places, and events that not only changed the size but shaped the character of the United States in the 19th century. Clear text explains the factors that drew people west, while archival photographs, illustrations, maps, and primary source documents describe their journeys and bring the exploration and settlement of our expanding nation to life.",453
"The Naughtiest Girl Helps a Friend (The Naughtiest Girl, #6)","How can the naughtiest girl be good at camp with horrible Arabella in the very same tent? Especially when she's busy stirring up trouble for Elizabeth's best friend, Joan ...
Bonus material in these new editions include:
A rare, complete serial story about a ""very"" special school.
An interview with Enid Blyton about her school days.
Enid Blyton's experiences as a teacher.
A timeline of the author's life.
Photos from Enid Blyton's younger days.",447
"Break Me (Obsession, #2)","Would you kill for the one you love?
I crashed into his life, ripped apart the walls he had so carefully erected...fueled a passion that he never knew could exist, but his troubled past has come back to haunt us.
I yearn to know his secrets, yearn for him to surrender to me as I have surrendered to him.
Whatever it takes, he says he will protect me... but he will never let me in.",382
Hooked on Antifreeze,"In this collection of stories, poems, and photographs, Nancy Wilbur Woods reveals her life-long affection for Alaska.
Those who know, love or miss Alaska will enjoy these stories.
Nancy Woods was born and raised in Fairbanks, Alaska. She now lives in Portland, Oregon, where she divides her time between working as the editor of a community newspaper and missing Alaska.",370
Look and Be Grateful,"In this meditative and joyful book, a young boy awakens with the dawn, opens his eyes and looks closely at his world. He admires all that surrounds him, large and small, from the radiant sun to a tiny, but exquisite, lady bug.
""Today is today, and it is a gift,"" writes Tomie dePaola. Simply told, penned in graceful hand-lettering and illustrated with jewel-like paintings, this inspiring picture book encourages each one of us to be thankful.",444
On the Edge of Nowhere,"His father is a white trapper, his mother an Athabascan Indian who walks a thousand miles in winter to reunite with her family. Thus, Jimmy Huntington learns early how to survive on the land. Huntington is only seven when his mother dies, and he must care for his younger siblings. A courageous and inspiring man, Huntington hunts wolves, fights bears, survives close calls too numerous to mention, and becomes a championship sled-dog racer.",441
